Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,First,Last
492,Jhon Chancellor\Jhon-Chancellor,ve VEN,DF,Brescia,it Serie A,27.0,1992.0,24.9,28.0,19,22.0,5.0,1.0,12.0,29.0,41.4,17.0,229.0,63.0,27.5,166.0,57.0,6.0,55.0,30.0,1.0,25.0,14,42,198.0,5.0,Matches,Jhon Chancellor,Jhon-Chancellor
493,Timothy Chandler\Timothy-Chandler,us USA,DFMF,Eint Frankfurt,de Bundesliga,29.0,1990.0,13.6,20.0,10,9.0,6.0,5.0,7.0,15.0,46.7,8.0,195.0,51.0,26.2,77.0,72.0,46.0,22.0,5.0,1.0,17.0,6,26,25.0,0.0,Matches,Timothy Chandler,Timothy-Chandler
494,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,25.0,1994.0,7.5,9.0,6,2.0,4.0,3.0,1.0,14.0,7.1,13.0,142.0,37.0,26.1,29.0,63.0,50.0,8.0,1.0,0.0,7.0,7,16,12.0,0.0,Matches,Kwon Chang-hoon,Kwon-Chang-hoon
495,Gaëtan Charbonnier\Gaetan-Charbonnier,fr FRA,FWMF,Brest,fr Ligue 1,30.0,1988.0,22.9,38.0,22,11.0,12.0,15.0,9.0,33.0,27.3,24.0,378.0,91.0,24.1,37.0,177.0,164.0,29.0,6.0,0.0,23.0,5,43,28.0,1.0,Matches,Gaëtan Charbonnier,Gaetan-Charbonnier
496,Brendan Chardonnet\Brendan-Chardonnet,fr FRA,DF,Brest,fr Ligue 1,24.0,1994.0,9.1,17.0,8,11.0,4.0,2.0,3.0,9.0,33.3,6.0,81.0,29.0,35.8,52.0,27.0,2.0,16.0,9.0,0.0,7.0,8,25,69.0,0.0,Matches,Brendan Chardonnet,Brendan-Chardonnet
497,Charles\Charles,br BRA,FW,Eibar,es La Liga,35.0,1984.0,14.5,13.0,6,2.0,7.0,4.0,2.0,13.0,15.4,11.0,228.0,52.0,22.8,11.0,101.0,116.0,12.0,3.0,0.0,9.0,3,16,7.0,0.0,Matches,Charles,Charles
498,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,fr Ligue 1,28.0,1991.0,23.9,76.0,52,29.0,39.0,8.0,24.0,62.0,38.7,38.0,505.0,150.0,29.7,164.0,261.0,80.0,39.0,6.0,0.0,33.0,29,105,41.0,0.0,Matches,Xavier Chavalerin,Xavier-Chavalerin
499,Pablo Chavarría\Pablo-Chavarria,ar ARG,FWMF,Mallorca,es La Liga,31.0,1988.0,2.3,2.0,1,1.0,1.0,0.0,0.0,2.0,0.0,2.0,69.0,10.0,14.5,18.0,22.0,29.0,3.0,1.0,0.0,2.0,0,2,2.0,0.0,Matches,Pablo Chavarría,Pablo-Chavarria
500,Aurélien Chedjou\Aurelien-Chedjou,cm CMR,DF,Amiens,fr Ligue 1,34.0,1985.0,21.9,35.0,27,24.0,11.0,0.0,12.0,26.0,46.2,14.0,183.0,66.0,36.1,121.0,58.0,4.0,33.0,15.0,0.0,18.0,27,62,183.0,1.0,Matches,Aurélien Chedjou,Aurelien-Chedjou
501,Pape Cheikh Diop\Pape-Cheikh-Diop,es ESP,MF,Celta Vigo,es La Liga,21.0,1997.0,6.7,12.0,6,6.0,4.0,2.0,3.0,14.0,21.4,11.0,143.0,38.0,26.6,44.0,72.0,27.0,3.0,2.0,0.0,1.0,2,14,4.0,0.0,Matches,Pape Cheikh Diop,Pape-Cheikh-Diop
502,Chema\Chema,es ESP,DF,Getafe,es La Liga,27.0,1992.0,3.4,2.0,2,0.0,2.0,0.0,0.0,0.0,,0.0,23.0,12.0,52.2,7.0,15.0,1.0,3.0,0.0,0.0,3.0,2,4,18.0,0.0,Matches,Chema,Chema
503,Rayan Cherki\Rayan-Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,15.0,2003.0,1.6,2.0,2,0.0,1.0,1.0,2.0,4.0,50.0,2.0,29.0,10.0,34.5,6.0,17.0,6.0,2.0,0.0,0.0,2.0,1,3,0.0,0.0,Matches,Rayan Cherki,Rayan-Cherki
504,Denis Cheryshev\Denis-Cheryshev,ru RUS,MFFW,Valencia,es La Liga,28.0,1990.0,10.3,12.0,7,5.0,3.0,4.0,4.0,22.0,18.2,18.0,173.0,37.0,21.4,55.0,84.0,34.0,24.0,1.0,0.0,23.0,8,20,9.0,0.0,Matches,Denis Cheryshev,Denis-Cheryshev
505,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,34.0,1984.0,2.2,3.0,2,3.0,0.0,0.0,1.0,1.0,100.0,0.0,18.0,11.0,61.1,10.0,8.0,0.0,5.0,3.0,0.0,2.0,1,4,10.0,0.0,Matches,Giorgio Chiellini,Giorgio-Chiellini
506,Federico Chiesa\Federico-Chiesa,it ITA,FWDF,Fiorentina,it Serie A,21.0,1997.0,29.3,49.0,30,16.0,23.0,10.0,10.0,52.0,19.2,42.0,657.0,150.0,22.8,107.0,284.0,266.0,27.0,0.0,0.0,27.0,5,54,8.0,0.0,Matches,Federico Chiesa,Federico-Chiesa
507,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,eng Premier League,22.0,1996.0,26.4,51.0,26,33.0,14.0,4.0,19.0,59.0,32.2,40.0,414.0,116.0,28.0,193.0,159.0,62.0,58.0,9.0,0.0,49.0,20,71,88.0,0.0,Matches,Ben Chilwell,Ben-Chilwell
508,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Sassuolo,it Serie A,29.0,1989.0,7.9,19.0,12,16.0,3.0,0.0,5.0,11.0,45.5,6.0,85.0,23.0,27.1,63.0,21.0,1.0,17.0,7.0,0.0,10.0,7,26,32.0,2.0,Matches,Vlad Chiricheș,Vlad-Chiriches
509,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,eng Premier League,19.0,1999.0,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,15.0,4.0,26.7,4.0,3.0,8.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,Matches,Tahith Chong,Tahith-Chong
510,Joris Chotard\Joris-Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17.0,2001.0,13.9,34.0,21,15.0,18.0,1.0,15.0,35.0,42.9,20.0,287.0,91.0,31.7,104.0,156.0,27.0,16.0,5.0,0.0,11.0,16,50,17.0,0.0,Matches,Joris Chotard,Joris-Chotard
